id;Gemeente;Screening;Percentage;
275;Rheden;Borstkanker 2022-2024;71,5;
1674;Roosendaal;Darmkanker 2024;71,5;
1904;Stichtse Vecht;Borstkanker 2022-2024;71,5;
453;Velsen;Borstkanker 2022-2024;71,5;
221;Doesburg;Darmkanker 2024;71,4;
228;Ede;Darmkanker 2024;71,4;
1924;Goeree-Overflakkee;Darmkanker 2024;71,4;
80;Leeuwarden;Borstkanker 2022-2024;71,4;
279;Scherpenzeel;Darmkanker 2024;71,4;
193;Zwolle;Borstkanker 2022-2024;71,4;
200;Apeldoorn;Borstkanker 2022-2024;71,3;
203;Barneveld;Darmkanker 2024;71,3;
228;Ede;Borstkanker 2022-2024;71,3;
85;Ooststellingwerf;Borstkanker 2022-2024;71,3;
437;Ouder-Amstel;Borstkanker 2022-2024;71,3;
274;Renkum;Borstkanker 2022-2024;71,3;
1674;Roosendaal;Borstkanker 2022-2024;71,3;
796;s-Hertogenbosch;Borstkanker 2022-2024;71,3;
716;Tholen;Borstkanker 2022-2024;71,3;
47;Veendam;Borstkanker 2022-2024;71,3;
351;Woudenberg;Darmkanker 2024;71,3;
50;Zeewolde;Borstkanker 2022-2024;71,3;
317;Eemnes;Borstkanker 2022-2024;71,2;
243;Harderwijk;Darmkanker 2024;71,2;
406;Huizen;Borstkanker 2022-2024;71,2;
1949;Waadhoeke;Darmkanker 2024;71,2;
216;Culemborg;Darmkanker 2024;71,1;
72;Harlingen;Borstkanker 2022-2024;71,1;
86;Opsterland;Darmkanker 2024;71,1;
1669;Roerdalen;Darmkanker 2024;71,1;
1701;Westerveld;Darmkanker 2024;71,1;
388;Enkhuizen;Darmkanker 2024;71;
394;Haarlemmermeer;Borstkanker 2022-2024;71;
758;Breda;Borstkanker 2022-2024;70,9;
736;De Ronde Venen;Darmkanker 2024;70,9;
531;Hendrik-Ido-Ambacht;Darmkanker 2024;70,9;
796;s-Hertogenbosch;Darmkanker 2024;70,9;
642;Zwijndrecht;Borstkanker 2022-2024;70,9;
1681;Borger-Odoorn;Darmkanker 2024;70,8;
90;Smallingerland;Borstkanker 2022-2024;70,8;
983;Venlo;Darmkanker 2024;70,8;
1960;West Betuwe;Darmkanker 2024;70,8;
297;Zaltbommel;Darmkanker 2024;70,8;
106;Assen;Borstkanker 2022-2024;70,7;
119;Meppel;Darmkanker 2024;70,7;
610;Sliedrecht;Borstkanker 2022-2024;70,7;
489;Barendrecht;Darmkanker 2024;70,6;
166;Kampen;Darmkanker 2024;70,6;
437;Ouder-Amstel;Darmkanker 2024;70,6;
439;Purmerend;Borstkanker 2022-2024;70,6;
1696;Wijdemeren;Darmkanker 2024;70,6;
748;Bergen op Zoom;Borstkanker 2022-2024;70,5;
150;Deventer;Darmkanker 2024;70,5;
1966;Het Hogeland;Darmkanker 2024;70,5;
396;Heemskerk;Darmkanker 2024;70,4;
687;Middelburg;Darmkanker 2024;70,4;
687;Middelburg;Borstkanker 2022-2024;70,4;
1731;Midden-Drenthe;Darmkanker 2024;70,4;
1970;Noardeast-Frysl̢n;Borstkanker 2022-2024;70,4;
826;Oosterhout;Borstkanker 2022-2024;70,4;
965;Simpelveld;Darmkanker 2024;70,4;
450;Uitgeest;Baarmoederhalskanker 2024;70,4;
340;Rhenen;Darmkanker 2024;70,3;
1676;Schouwen-Duiveland;Darmkanker 2024;70,3;
303;Dronten;Darmkanker 2024;70,2;
353;IJsselstein;Borstkanker 2022-2024;70,2;
716;Tholen;Darmkanker 2024;70,2;
50;Zeewolde;Darmkanker 2024;70,2;
373;Bergen (NH);Darmkanker 2024;70,1;
164;Hengelo (O);Darmkanker 2024;70,1;
274;Renkum;Darmkanker 2024;70,1;
1883;Sittard-Geleen;Darmkanker 2024;70,1;
289;Wageningen;Borstkanker 2022-2024;70,1;
1723;Alphen-Chaam;Baarmoederhalskanker 2024;70;
1942;Gooise Meren;Borstkanker 2022-2024;70;
703;Reimerswaal;Darmkanker 2024;70;
1883;Sittard-Geleen;Borstkanker 2022-2024;70;
1581;Utrechtse Heuvelrug;Borstkanker 2022-2024;70;
994;Valkenburg aan de Geul;Darmkanker 2024;70;
301;Zutphen;Darmkanker 2024;70;
744;Baarle-Nassau;Darmkanker 2024;69,9;
1891;Dantumadiel;Darmkanker 2024;69,9;
703;Reimerswaal;Borstkanker 2022-2024;69,9;
1895;Oldambt;Borstkanker 2022-2024;69,8;
96;Vlieland;Borstkanker 2022-2024;69,8;
193;Zwolle;Darmkanker 2024;69,8;
613;Albrandswaard;Borstkanker 2022-2024;69,7;
361;Alkmaar;Borstkanker 2022-2024;69,7;
72;Harlingen;Darmkanker 2024;69,7;
353;IJsselstein;Darmkanker 2024;69,7;
957;Roermond;Borstkanker 2022-2024;69,7;
1992;Voorne aan Zee;Darmkanker 2024;69,7;
233;Ermelo;Darmkanker 2024;69,6;
542;Krimpen aan den IJssel;Darmkanker 2024;69,6;
417;Laren;Borstkanker 2022-2024;69,6;
177;Raalte;Baarmoederhalskanker 2024;69,6;
965;Simpelveld;Borstkanker 2022-2024;69,6;
629;Wassenaar;Darmkanker 2024;69,6;
59;Achtkarspelen;Darmkanker 2024;69,5;
200;Apeldoorn;Darmkanker 2024;69,5;
90;Smallingerland;Darmkanker 2024;69,5;
114;Emmen;Darmkanker 2024;69,4;
1695;Noord-Beveland;Borstkanker 2022-2024;69,4;
590;Papendrecht;Darmkanker 2024;69,4;
180;Staphorst;Darmkanker 2024;69,4;
1581;Utrechtse Heuvelrug;Darmkanker 2024;69,4;
345;Veenendaal;Borstkanker 2022-2024;69,4;
164;Hengelo (O);Borstkanker 2022-2024;69,3;
406;Huizen;Darmkanker 2024;69,3;
1961;Vijfheerenlanden;Darmkanker 2024;69,3;
388;Enkhuizen;Borstkanker 2022-2024;69,2;
74;Heerenveen;Darmkanker 2024;69,2;
